,Element,Latitude,Longitude,Radius,Opacity,Time,Color
203,I1,19.015384,4.758968,0,0,0:01:41,#FFFFFF
204,L1,18.969611,4.788837,0,0,0:01:42,#FFFFFF
205,I1,19.015384,4.758968,0,0,0:01:42,#FFFFFF
206,L1,18.969611,4.788837,0,0,0:01:43,#FFFFFF
207,I1,19.015384,4.758968,0,0,0:01:43,#FFFFFF
208,L1,18.969611,4.788837,0,0,0:01:44,#FFFFFF
209,I1,19.015384,4.758968,0,0,0:01:44,#FFFFFF
210,L1,18.969611,4.788837,0,0,0:01:45,#FFFFFF
211,I1,19.015384,4.758968,0,0,0:01:45,#FFFFFF
212,L1,18.969611,4.788837,0,0,0:01:46,#FFFFFF
213,I1,19.015384,4.758968,0,0,0:01:46,#FFFFFF
214,L1,18.969611,4.788837,0,0,0:01:47,#FFFFFF
215,I1,19.015384,4.758968,0,0,0:01:47,#FFFFFF
216,L1,18.969611,4.788837,0,0,0:01:48,#FFFFFF
217,I1,19.015384,4.758968,0,0,0:01:48,#FFFFFF
218,L1,18.969611,4.788837,0,0,0:01:49,#FFFFFF
219,I1,19.015384,4.758968,0,0,0:01:49,#FFFFFF
220,L1,18.969611,4.788837,0,0,0:01:50,#FFFFFF
221,I1,19.015384,4.758968,0,0,0:01:50,#FFFFFF
222,L1,18.969611,4.788837,0,0,0:01:51,#FFFFFF
223,I1,19.015384,4.758968,0,0,0:01:51,#FFFFFF
224,L1,18.969611,4.788837,0,0,0:01:52,#FFFFFF
225,I1,19.015384,4.758968,0,0,0:01:52,#FFFFFF
